"parental_education","family_income","internet_access","study_environment","study_hours_per_day","attendance_rate","sleep_hours","social_media_hours","assignment_completion_rate","participation_score","online_courses_completed","tutoring","pass"
"High School","Medium","No","Quiet",3.18,76,7.04,3.1,86.7,55.1,0,"No",0
"High School","High","No","Noisy",2.89,95.6,8.21,1.9,64.2,47.5,4,"No",0
"Bachelor","Medium","Yes","Quiet",1.33,72.8,6.5,5.3,80.4,63.3,1,"No",0
"High School","Low","Yes","Moderate",4.04,95.6,7.07,3,96.4,72.6,1,"No",0
"High School","Medium","Yes","Noisy",3.58,90.3,6.94,4.1,76.3,83.4,2,"Yes",0
"Bachelor","Low","Yes","Quiet",1.16,84.9,8.26,4.5,100,77.6,3,"Yes",0
"Master","Low","Yes","Moderate",1.14,95.5,6.47,4.2,95,73.3,1,"Yes",0
"High School","Medium","Yes","Quiet",2.2,89.8,6.4,3.2,67.3,65.9,2,"No",0
"Bachelor","Medium","Yes","Moderate",3.27,97.8,6.71,3.9,81.6,84.4,1,"No",0
"High School","Medium","Yes","Noisy",3.29,68.6,6.42,0,95.5,46.4,2,"No",0
"High School","Medium","Yes","Quiet",2.04,76.9,7.1,1.7,88.3,73,2,"No",0
"High School","Medium","Yes","Quiet",2.39,92.2,7.14,2.4,69.7,50.6,2,"Yes",0
"High School","Medium","Yes","Noisy",3.6,76,6.37,2.8,86.8,56.8,2,"No",0
"High School","Medium","Yes","Moderate",2.62,82,7.57,2.9,73.1,76.7,0,"No",0
"Bachelor","Medium","Yes","Moderate",2.51,95.9,5.9,0.5,100,73.6,2,"Yes",0
"High School","Medium","Yes","Moderate",3.09,82.9,7.98,2.9,46.4,40.8,3,"No",0
"Bachelor","Low","Yes","Quiet",2.61,75.6,7.11,3.1,66.1,93,0,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.81,93.2,6.77,4.3,50,68.3,2,"Yes",0
"High School","Medium","Yes","Quiet",3.6,81,8.29,1.2,64.1,78.8,0,"No",0
"Bachelor","Medium","Yes","Quiet",1.35,89.4,6.75,3.1,99.4,95.8,3,"No",0
"Master","Medium","Yes","Noisy",2.03,89.2,7.83,3.4,63.4,53.8,2,"No",0
"PhD","Low","No","Quiet",2.49,80,7.26,4.5,96.1,52.7,1,"No",0
"High School","Medium","Yes","Quiet",2.09,91.1,7.92,5.7,62.5,68.7,3,"No",0
"PhD","Medium","Yes","Noisy",3.84,64.4,6.55,2.8,57.2,40.7,1,"No",0
"Bachelor","Medium","No","Quiet",4.53,89.8,6.91,4.3,85.3,40.9,5,"Yes",0
"Bachelor","Low","Yes","Quiet",3.82,85.3,9.17,1.3,71.3,75.3,1,"No",0
"Master","Medium","Yes","Quiet",2.53,78.1,8.69,0.2,86.8,96.5,2,"Yes",0
"High School","High","Yes","Quiet",3.31,100,5.94,0,96.8,82.9,2,"No",0
"Bachelor","Low","Yes","Quiet",1.42,93.5,7.03,1,87.3,60.7,3,"No",0
"PhD","Low","Yes","Noisy",1.96,95.7,7.06,4.4,77.5,52.6,2,"No",0
"Bachelor","Low","Yes","Quiet",0.91,81.6,7.02,2.7,76.3,77.9,2,"Yes",0
"Bachelor","Medium","Yes","Moderate",3.22,75.8,8.6,2.6,50.4,45.6,4,"No",0
"Master","Low","No","Noisy",3.28,89.2,7.12,4.6,92.1,74.4,4,"No",0
"Bachelor","Medium","Yes","Quiet",3.48,77.4,7.49,0.9,45.7,40.3,1,"No",0
"Master","Medium","Yes","Moderate",2.07,96.9,6.59,1.3,72.2,67.3,1,"No",0
"Master","Medium","Yes","Moderate",2.02,89.8,6.79,0.7,73.4,77,4,"No",0
"Bachelor","Medium","Yes","Quiet",0.5,79.3,8.66,7,69.8,53.7,0,"No",0
"Bachelor","Low","Yes","Moderate",1.65,81.1,6.19,2.4,79.9,59.3,2,"No",0
"PhD","Low","Yes","Noisy",1.41,98.5,6.81,1.3,76.5,58.7,3,"No",0
"High School","Medium","Yes","Quiet",1.8,98.3,8.25,6.5,47.6,30.8,2,"No",0
"Bachelor","Low","Yes","Noisy",1.37,81.4,6.11,0.7,100,60.9,1,"No",0
"PhD","Medium","Yes","Moderate",2.54,73.6,6.69,2.8,76.7,70,1,"No",0
"Bachelor","High","No","Moderate",0.5,79.4,5.82,2.8,75.1,100,2,"Yes",0
"High School","Low","No","Quiet",2.73,77.7,7.88,4.8,82.6,92.1,3,"Yes",0
"Bachelor","Medium","Yes","Noisy",5.4,93.6,7.33,3.3,81.8,61.1,0,"Yes",0
"Bachelor","Medium","Yes","Quiet",1.99,94,6.11,2.9,75.1,61.6,1,"No",0
"Bachelor","Low","Yes","Moderate",0.98,81.8,6.92,0.4,61.8,51.3,1,"No",0
"High School","Medium","Yes","Quiet",2.8,86.3,5.66,3.6,56.9,98.2,1,"No",0
"High School","Low","Yes","Quiet",4.44,77.2,5.08,1.6,58.9,61.2,2,"No",0
"High School","Medium","Yes","Noisy",3.28,82,7.18,1.2,75.3,85,2,"No",0
"High School","Low","No","Quiet",2.51,82.5,7.17,3.6,100,46.3,3,"Yes",0
"Master","Low","Yes","Moderate",1.41,81.8,6.17,0.3,80.3,64,1,"Yes",0
"High School","Low","Yes","Quiet",3.34,82.4,7.19,3.4,61.4,61.7,3,"No",0
"High School","Low","Yes","Moderate",1.02,100,5.28,2.8,77.9,85.7,3,"No",0
"High School","Medium","Yes","Noisy",1.27,80.4,6.64,3.5,83.8,79.9,0,"No",0
"High School","Medium","Yes","Quiet",2.41,82.3,7.12,5,79.4,64.4,3,"Yes",0
"Master","Medium","Yes","Moderate",3.25,83.2,6.67,2.2,77.9,47.3,4,"Yes",0
"High School","Medium","Yes","Noisy",0.62,95.2,7.76,1.5,56.3,79.8,3,"Yes",0
"Master","High","Yes","Quiet",2.64,92.9,9.34,4.4,70.7,67.6,2,"No",0
"High School","Medium","Yes","Moderate",1.85,86.1,7.59,1.2,88.6,70.1,1,"No",0
"High School","Medium","Yes","Moderate",1.84,75.7,8.64,2.3,100,83.3,4,"No",0
"High School","Medium","Yes","Moderate",1.43,82.3,6.54,5,67.8,45.6,1,"No",0
"Bachelor","Medium","Yes","Quiet",2.47,80.6,7.12,0,81.7,58.3,2,"No",0
"Bachelor","Medium","Yes","Noisy",1.95,73.1,7.45,0.6,81.7,57.8,3,"No",0
"Master","Low","Yes","Moderate",2.64,56.3,4.98,1.9,87.5,55.6,3,"No",0
"High School","High","Yes","Moderate",3.38,73.2,7.25,4.8,70.2,93.5,4,"Yes",0
"Master","Low","Yes","Moderate",2.86,100,7.29,2.1,87.5,89.6,4,"Yes",0
"Bachelor","High","Yes","Quiet",2.76,95.5,5.02,2.9,85.4,71.6,1,"No",0
"Bachelor","Medium","Yes","Moderate",2.38,74.3,5.65,5.9,63.1,38.1,1,"No",0
"Bachelor","High","Yes","Moderate",2.97,78.1,7.65,2,58.4,58.8,0,"No",0
"Bachelor","Low","Yes","Quiet",1.97,76.4,7.9,1.1,50.9,93.2,3,"No",0
"Bachelor","High","Yes","Quiet",3.23,75,6.44,3.5,40,81.9,0,"No",0
"High School","Low","Yes","Quiet",1.53,89.7,6.14,2,85.1,71.8,2,"No",0
"High School","Medium","Yes","Quiet",3.2,95.7,8.8,5.6,69.1,73.2,2,"No",0
"Bachelor","Medium","Yes","Moderate",1.81,79.4,6.25,1.3,84.8,64,0,"No",0
"Bachelor","High","No","Noisy",4.04,78.9,6.11,4.9,89.3,65.1,2,"No",0
"High School","Low","Yes","Quiet",2.93,83.6,6.77,2.6,97.4,50.2,1,"Yes",0
"High School","High","Yes","Noisy",2.57,80.8,5.92,0.9,81.8,93.7,2,"Yes",0
"PhD","Medium","Yes","Moderate",1.8,81.4,6.8,2.5,87.3,74,5,"Yes",0
"Master","Low","Yes","Noisy",2.15,73.5,8.87,4.7,74.8,54.2,3,"No",0
"Bachelor","Low","Yes","Moderate",1.52,90.2,6.37,3.1,100,100,1,"Yes",0
"High School","Low","Yes","Quiet",1.22,85.4,7.56,2.3,87.4,67.7,1,"Yes",0
"High School","High","Yes","Noisy",2.29,95.6,8.09,4.7,76.5,80.9,2,"Yes",0
"High School","Medium","Yes","Quiet",2.38,73.4,9.12,1.7,84,100,1,"Yes",0
"High School","Medium","Yes","Quiet",1.93,97.1,8.18,3.6,96.4,58.4,0,"No",0
"High School","Medium","Yes","Quiet",1.39,82,6.81,0.8,59.4,68.8,1,"No",0
"Bachelor","High","Yes","Moderate",2.92,96.7,8.13,1.9,77.6,79.4,2,"No",0
"Master","Low","Yes","Noisy",3.13,85.8,8.25,2,76.3,68.1,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",3.4,84.2,7.7,1.1,58.9,57.2,0,"No",0
"Master","High","Yes","Quiet",0.5,92.9,7.1,4.2,68.1,52.5,1,"No",0
"Master","Medium","Yes","Moderate",2.47,97.9,6.9,4.2,48.5,40.3,3,"No",0
"Master","Medium","Yes","Quiet",2.84,91.2,6.11,1.6,95.7,48.8,2,"No",0
"High School","Medium","Yes","Quiet",1.12,88.6,9.49,3.4,49.3,61.8,2,"No",0
"High School","Low","Yes","Moderate",2.75,88.1,8.43,5,80.5,55.2,3,"No",0
"High School","High","Yes","Moderate",3.31,84.6,5.8,3.9,85,79.4,2,"No",0
"High School","High","Yes","Moderate",3.32,89.1,6.91,4.2,100,57.1,0,"No",0
"High School","Low","Yes","Moderate",1.79,81.3,7.34,2.2,83.6,95.9,2,"No",0
"PhD","Medium","Yes","Moderate",3.44,80.3,9.24,1.6,72.8,51.6,3,"Yes",0
"High School","Low","Yes","Quiet",4.2,84.2,5.64,4.2,90.5,44.7,2,"No",0
"Master","High","Yes","Noisy",0.5,85.9,7.39,0,54.7,78.9,4,"Yes",0
"Bachelor","Medium","Yes","Quiet",0.5,90.8,6.16,2,74.3,82.2,4,"Yes",0
"High School","High","Yes","Moderate",3.72,70,6.12,3.4,53.6,79.6,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",4.52,65.4,5.54,4,63.3,42.3,2,"Yes",0
"Bachelor","High","Yes","Moderate",2.88,79.4,6.16,3.2,66.2,86.7,1,"No",0
"Master","Medium","No","Quiet",0.5,76.2,6.3,3.8,62,50.3,1,"No",0
"Bachelor","Low","Yes","Moderate",3.27,94.5,6.47,4.1,49.7,85,4,"No",0
"High School","Medium","Yes","Moderate",0.76,74.2,8.01,3.9,98,91.9,2,"No",0
"PhD","Medium","Yes","Moderate",5.46,100,5.74,5.4,79.6,66.1,1,"No",0
"Master","Medium","No","Moderate",0.94,95.7,6.29,4.1,94.8,71.3,2,"Yes",0
"Bachelor","Medium","Yes","Noisy",3.63,80.1,4.54,1.7,57.7,70.2,5,"No",0
"High School","Medium","Yes","Noisy",2.82,78.2,7.15,0,100,62,0,"No",0
"Master","Medium","Yes","Moderate",3.89,87.4,5.41,3.1,54.6,69.6,1,"No",0
"High School","Medium","Yes","Quiet",3.41,71.9,7.66,1.7,84.6,78.2,2,"No",0
"High School","Medium","No","Quiet",3.25,86.3,6.58,2.2,79.1,67.2,2,"No",0
"High School","Medium","Yes","Quiet",1.45,87.8,7.57,2.9,70,100,5,"Yes",0
"Master","Medium","Yes","Moderate",3.77,81.1,7.13,4.6,73.9,82.5,2,"Yes",0
"High School","Low","Yes","Quiet",2.19,71.4,7.48,0,79.2,92.6,2,"No",0
"High School","Medium","Yes","Noisy",2.25,94.9,7.88,3.8,83.4,83.9,4,"No",0
"High School","Low","Yes","Moderate",1.91,92,7.88,2.7,71,78.6,2,"Yes",0
"Bachelor","Low","Yes","Quiet",4.1,80,5.54,2.6,79.5,74.6,1,"Yes",0
"Bachelor","Medium","Yes","Noisy",3.98,71.8,5.06,3.7,79.4,55,1,"Yes",0
"PhD","Low","Yes","Quiet",2.45,83.6,7.15,3.5,69.8,100,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.06,100,6.77,4.9,87.4,48.4,1,"No",0
"High School","High","No","Noisy",3.79,75.6,6.99,3.2,100,67.3,2,"Yes",0
"Master","Low","Yes","Moderate",1.4,88.8,6.69,2.7,81.8,67.2,1,"No",0
"Bachelor","Low","Yes","Quiet",2.51,67.5,7.25,2.8,74.6,77.6,2,"Yes",0
"Bachelor","Medium","Yes","Noisy",3.3,87.2,7.27,1.6,79.6,78.6,2,"No",0
"High School","Low","Yes","Noisy",2.61,78.1,4.98,0,100,74.9,2,"No",0
"High School","Medium","Yes","Quiet",3.23,57.5,7.92,1.9,64.3,69.5,3,"No",0
"Master","Medium","Yes","Noisy",2.15,89.1,8.81,2.2,100,50.5,3,"No",0
"High School","Medium","Yes","Quiet",0.5,79.6,7.21,3.6,76.6,66.6,1,"Yes",0
"High School","Medium","Yes","Moderate",3.79,90.6,7.05,1.5,66.8,85.6,4,"No",0
"Bachelor","Low","Yes","Quiet",1.82,87.7,7.44,3.8,100,61.9,1,"Yes",0
"Bachelor","Low","Yes","Quiet",1.58,84.9,8.48,5.3,69.6,66.5,2,"No",0
"High School","Medium","Yes","Moderate",3.03,90.6,6.33,1.3,88.4,51.5,0,"No",0
"Bachelor","Medium","Yes","Quiet",1.56,78.1,7.79,3.4,77.3,62,2,"No",0
"High School","Low","No","Noisy",3.63,63,6.73,3.7,53.2,65.5,2,"Yes",0
"Bachelor","Low","Yes","Noisy",2.37,91,6.59,3.8,88.7,69.3,2,"No",0
"Master","Medium","Yes","Quiet",1.9,89.7,7.86,5.1,78.4,71.4,1,"No",0
"High School","Medium","Yes","Moderate",2.39,81.5,8.66,1.8,79.9,73.3,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.79,100,5.19,1.4,73.8,60.6,0,"No",0
"Bachelor","Medium","Yes","Quiet",2.62,96.9,8.35,0.1,59.1,81.7,1,"No",0
"Master","Medium","No","Moderate",1.29,97.3,7.02,3.1,100,69,1,"No",0
"Master","Medium","Yes","Moderate",3.07,81.2,7.14,1.5,87.2,73.8,4,"No",0
"Bachelor","Medium","Yes","Moderate",2.43,100,7.35,2.5,63.2,82.1,0,"No",0
"Master","Medium","Yes","Moderate",0.88,77.8,5.13,3.5,58.1,75,2,"No",0
"Master","Medium","Yes","Noisy",3.43,97.3,6.39,0.4,86.8,54.9,5,"Yes",0
"High School","Low","Yes","Moderate",2.28,84.1,6.2,2,78.3,68.9,5,"No",0
"High School","Medium","Yes","Quiet",2.56,81.3,6.28,5.3,100,83.6,5,"No",0
"Master","Low","Yes","Quiet",2.84,94,7.49,0.7,81.1,54.8,1,"No",0
"Bachelor","Medium","Yes","Quiet",1.34,86.4,8.75,1.8,66.5,44.3,0,"No",0
"High School","Medium","No","Quiet",2.1,97.8,8.52,2.4,69.6,78.3,4,"No",0
"High School","Low","Yes","Moderate",3.65,83.7,6.96,2.6,79.1,63.3,2,"Yes",0
"Bachelor","High","Yes","Quiet",3.94,84.1,8.35,3,88.9,59.7,1,"No",0
"Bachelor","Low","Yes","Noisy",2.04,92.7,5.84,2.3,70.4,79.8,4,"No",0
"Bachelor","Medium","Yes","Quiet",3.28,50.9,7.77,3.3,96.3,45.4,5,"No",0
"Bachelor","Medium","Yes","Quiet",3.01,100,6.51,2.2,82.9,80.7,4,"Yes",0
"High School","Medium","Yes","Moderate",2.39,85.6,7.58,4,75.5,57.9,0,"Yes",0
"Master","Medium","Yes","Quiet",3.4,98.3,5.32,3.2,55.6,58.3,6,"Yes",0
"High School","High","Yes","Moderate",1.76,73.9,5.62,1.5,67.3,75.8,2,"No",0
"High School","High","Yes","Moderate",1.53,86.3,7.51,1.1,61.9,98.6,2,"No",0
"Bachelor","Low","Yes","Noisy",2.27,76.3,8.11,1.3,85.4,50.5,3,"Yes",0
"Master","Low","Yes","Quiet",1.63,75.8,7.12,3.1,70.7,70.1,0,"No",0
"Bachelor","Low","Yes","Quiet",2.7,57.1,6.13,1.1,84.5,73.1,2,"No",0
"PhD","Medium","Yes","Quiet",2.98,79.1,7.15,1.9,58.1,58.7,0,"No",0
"Master","Low","Yes","Quiet",0.5,83.4,8.53,2.4,59.2,69.5,1,"No",0
"Bachelor","Medium","Yes","Moderate",3.42,69.5,6.47,2.3,81.4,57.4,3,"Yes",0
"Bachelor","Medium","Yes","Moderate",1.84,70,6.89,4.5,91.1,63.6,4,"No",0
"Master","Medium","Yes","Quiet",2.45,72.9,6.55,2.2,87.5,54.4,4,"No",0
"Master","Medium","Yes","Moderate",2.53,97,7.99,3.2,84.8,57.3,1,"No",0
"Master","Medium","Yes","Quiet",2.7,86.5,4.95,1.2,75,79.8,1,"Yes",0
"High School","Low","Yes","Quiet",1.55,77.7,7.42,1.3,68.8,66.7,4,"Yes",0
"Master","High","Yes","Noisy",3.01,82,8.75,3.9,74.9,91.3,6,"Yes",0
"High School","Low","Yes","Noisy",3.2,99.9,8.53,2,75.6,51.7,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.67,83.2,8.87,3.2,87.2,51,1,"No",0
"Bachelor","High","Yes","Noisy",3.78,84.5,5.68,1.9,84.9,67.6,1,"Yes",0
"High School","Low","Yes","Quiet",2.11,78.4,6.3,5.4,74.4,55.7,2,"Yes",0
"High School","Medium","Yes","Quiet",0.5,96,7.42,5.4,100,50.4,1,"No",0
"Master","High","Yes","Moderate",1.58,70.5,8.39,1,84.8,81.9,4,"Yes",0
"Bachelor","High","Yes","Quiet",0.76,85.9,7.9,3,74.1,93.1,0,"No",0
"High School","Low","No","Moderate",3.51,100,6.25,1.9,84.8,74.1,3,"No",0
"High School","Medium","Yes","Moderate",3.48,77.3,7.2,0.5,91,29.6,1,"No",0
"Bachelor","Low","Yes","Moderate",2.57,93.4,7.94,2.4,47.8,63.1,3,"Yes",0
"Bachelor","Medium","Yes","Noisy",2.16,67.8,6.95,1.7,50.5,83.3,4,"Yes",0
"Master","High","No","Noisy",3.5,90.6,5.75,3.3,77.3,68.8,1,"No",0
"Bachelor","Medium","Yes","Quiet",3.56,83.2,8.7,1.6,90.4,70.4,1,"Yes",0
"Master","Medium","Yes","Noisy",4.33,86.6,7.04,1.9,83,81.5,4,"No",0
"PhD","Medium","No","Quiet",3.66,70.9,6.71,2.5,40,73.3,1,"No",0
"Bachelor","Medium","Yes","Quiet",1,78.5,6.79,4.5,100,72.5,2,"No",0
"High School","Medium","No","Noisy",2.58,79.7,7.92,3.2,100,86.3,3,"No",0
"Master","Low","Yes","Quiet",2.35,85.6,7.96,3.2,100,47.3,2,"No",0
"Master","Medium","Yes","Quiet",3.19,79.9,8.78,1.6,100,60.8,2,"No",0
"Bachelor","High","Yes","Moderate",1.48,93.1,6.71,1.7,78.2,70.5,2,"No",0
"High School","Medium","Yes","Quiet",1.49,82.6,7.44,0,76.9,65.2,1,"No",0
"High School","Medium","Yes","Quiet",2.81,76.2,6.73,3.5,85.9,46.9,2,"No",0
"High School","Medium","Yes","Moderate",2.78,69.4,5.16,2,70,82.1,4,"No",0
"Bachelor","Medium","Yes","Quiet",0.5,79.8,5.02,0.2,91.3,48.6,1,"No",0
"High School","High","Yes","Moderate",1.32,83.2,6.95,1.1,86.5,94.4,1,"No",0
"Bachelor","Medium","No","Noisy",4.18,84.2,6.61,6.7,63.6,62.7,2,"No",0
"Bachelor","Medium","Yes","Quiet",2.02,92.9,7.26,2,77.5,83,1,"No",0
"Bachelor","Low","Yes","Moderate",2.66,92.5,6.73,1.3,73.4,60.9,2,"No",0
"Bachelor","Medium","Yes","Moderate",0.72,76.7,7.33,1.8,51.7,65.6,2,"No",0
"Master","Medium","No","Moderate",3.81,91.5,6.34,3.6,72,58,3,"Yes",0
"High School","Low","Yes","Quiet",2.51,100,5.8,2.8,55.4,79.9,1,"No",0
"High School","High","Yes","Quiet",3.73,74.2,7.09,0.7,53.5,55,2,"No",0
"Master","High","Yes","Noisy",1.72,100,6.25,5.7,89.4,75.1,3,"Yes",0
"Master","Medium","Yes","Moderate",1.4,85.3,8.05,3.3,88.8,88.6,1,"Yes",0
"High School","Low","No","Moderate",2.83,72.7,7.85,0,70.9,71.2,1,"No",0
"Bachelor","High","Yes","Quiet",3.39,90.1,6.09,4.3,78.5,96.7,2,"No",0
"High School","Low","Yes","Moderate",2.52,73.3,7.55,2.2,40,73.9,3,"No",0
"High School","Low","Yes","Quiet",1.8,90.5,7.72,4.6,83.6,76.4,2,"No",0
"High School","Medium","Yes","Noisy",2.18,87.2,6.23,2.1,55.7,89.1,1,"Yes",0
"Bachelor","Low","Yes","Noisy",0.77,91.6,5.63,3,73,41,0,"No",0
"Bachelor","Medium","Yes","Moderate",3.03,85.4,7.51,1.3,88.9,61.1,2,"Yes",0
"Bachelor","Low","Yes","Moderate",3.51,74.2,6.94,1.7,86.5,91,4,"Yes",0
"Master","High","Yes","Quiet",4.21,76.9,5.51,4.3,73.5,75.4,2,"No",0
"Master","Low","Yes","Quiet",2.2,78.9,7.35,1.5,91.9,63.6,3,"Yes",0
"Master","Medium","No","Quiet",0.84,90.1,5.84,1.6,81,83.9,1,"Yes",0
"High School","Low","Yes","Quiet",2.39,89.1,6.96,2.7,100,96.6,3,"No",0
"PhD","Low","No","Noisy",0.87,76,8.5,3.7,100,55.4,1,"Yes",0
"High School","Medium","Yes","Moderate",2.58,76.5,6.32,1.7,67.9,100,0,"Yes",0
"High School","Medium","Yes","Moderate",1.67,85.4,7.49,2.7,56.2,59.9,5,"Yes",0
"Bachelor","Low","Yes","Noisy",2.72,77,7.71,4.1,75.2,51,2,"No",0
"Bachelor","High","Yes","Quiet",1.16,72.1,7.85,0.1,83.4,74.8,1,"Yes",0
"High School","Medium","Yes","Quiet",2.52,97.5,8.56,6.5,87,82.8,1,"No",0
"Bachelor","Medium","Yes","Moderate",3.14,75.2,6.45,4.8,75.3,78.4,1,"No",0
"High School","Low","Yes","Moderate",2.39,94.6,7.77,3.9,85.9,72.2,0,"No",0
"High School","Medium","Yes","Noisy",2.9,73.7,6.59,1.3,86.4,100,0,"No",0
"Bachelor","Medium","Yes","Quiet",4.42,76.3,7.48,3.8,72.1,84.3,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.31,73.6,7.74,4.4,65.1,65.1,2,"Yes",0
"Bachelor","Medium","No","Moderate",2.73,94.8,7.6,5.3,100,57.9,3,"No",0
"Bachelor","Medium","Yes","Quiet",3.46,69.1,5.04,0,77.8,29.2,3,"Yes",0
"Master","High","Yes","Noisy",1.02,100,6.88,1.3,90.9,78.2,1,"No",0
"Master","Medium","Yes","Moderate",1.87,84.6,7.38,0.4,100,62.6,2,"Yes",0
"High School","Medium","Yes","Moderate",3.05,64.7,7.29,1.9,88.2,58.7,4,"No",0
"Master","High","Yes","Moderate",1.92,77.4,4.96,3.1,76,76.6,2,"No",0
"Master","Medium","Yes","Moderate",2.82,87.9,6.11,0.6,74.7,61.6,0,"No",0
"Master","Low","Yes","Quiet",1.84,84.3,5.83,5.2,69,74.4,2,"No",0
"Bachelor","Medium","Yes","Noisy",2.16,84.1,7.38,3,64.3,86.1,1,"No",0
"High School","Low","No","Moderate",2.32,88.8,8.32,3.7,65,59.3,1,"Yes",0
"PhD","Medium","Yes","Moderate",2.58,73.6,7.57,3.4,75,70.7,4,"No",0
"High School","Medium","Yes","Quiet",3.56,90,6.14,3,85.7,91.5,3,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.41,75.9,7.44,1.7,79.6,41.1,3,"No",0
"Master","Medium","Yes","Noisy",3.32,84.1,6.26,4.9,76.1,62.5,2,"No",0
"Bachelor","Medium","Yes","Noisy",1.12,69.3,5.3,2.6,62.9,52,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",2.2,84.1,8.55,0.4,86.8,56.5,3,"Yes",0
"High School","Medium","No","Moderate",4.14,64.9,5.67,3.8,100,62.6,3,"No",0
"Bachelor","High","Yes","Noisy",1.83,69.2,8.15,0.4,98.8,85.1,0,"No",0
"High School","Medium","Yes","Quiet",0.5,94.3,8.68,2.1,81.8,58.9,1,"No",0
"High School","Medium","No","Quiet",3.45,77.3,6.44,5.6,100,33.4,2,"No",0
"High School","Medium","Yes","Quiet",4.49,58.3,6.84,2.9,93,52.1,1,"Yes",0
"Bachelor","Medium","Yes","Moderate",2.79,95.7,8.16,3.6,79.9,68.9,3,"Yes",0
"High School","Low","Yes","Quiet",3,82,7.74,4.2,76,57.9,1,"No",0
"High School","Low","Yes","Noisy",3.72,86.5,6.03,2.8,70.4,85.7,5,"No",0
"Master","Medium","No","Noisy",1.85,79.9,8.01,0.4,81.6,37.7,1,"No",0
"Master","Medium","Yes","Noisy",1.61,70.8,6.83,0.9,57.9,76.8,3,"No",0
"Bachelor","Low","Yes","Quiet",1.87,92.1,5.42,3.7,66.8,54.9,0,"Yes",0
"Bachelor","Medium","Yes","Quiet",1.03,83.7,7.2,2.3,88.9,65.9,1,"No",0
"High School","Medium","Yes","Moderate",2.51,84.5,6.5,1.4,73.1,66.5,0,"No",0
"Bachelor","Medium","Yes","Noisy",4,100,7.59,2.7,82.1,77.3,5,"No",0
"Bachelor","Low","Yes","Quiet",4.32,84,8.23,3.1,68.4,41.4,3,"No",0
"High School","Medium","No","Quiet",1.19,73.8,7.72,3.7,55.3,55.5,1,"No",0
"High School","Low","Yes","Quiet",2.65,88.3,5.23,3.2,48,89.3,1,"No",0
"High School","High","Yes","Noisy",3.07,80.3,6.56,3.2,94,51.6,2,"No",0
"High School","Medium","Yes","Noisy",1.71,96.3,7.9,4.9,87.1,68.1,4,"Yes",0
"High School","Medium","Yes","Moderate",3.34,100,7.03,3.2,88.5,39.3,5,"No",0
"High School","Medium","Yes","Moderate",2.91,79.5,8.09,2.6,79.2,79.1,2,"Yes",0
"Bachelor","Medium","Yes","Quiet",3.42,82.8,5.84,1.9,85.9,62.2,3,"No",0
"Bachelor","Medium","Yes","Moderate",2.02,95,8.9,2.7,71.3,58.9,1,"No",0
"Master","Low","No","Moderate",2.98,86.4,7.81,2.8,92.6,65.6,0,"Yes",0
"Bachelor","Low","Yes","Moderate",2.71,73.2,6.11,4.7,79.3,81.3,5,"Yes",0
"Master","Medium","Yes","Moderate",1.09,80.4,6.34,2,52,74.2,2,"No",0
"High School","Medium","Yes","Noisy",2.41,92.1,8.56,4.1,100,72.2,1,"No",0
"Bachelor","Medium","Yes","Noisy",2.92,98.2,5.59,2.7,40.4,71.5,6,"No",0
"Master","Medium","Yes","Noisy",2.4,59.5,6.71,2,67.1,78.5,1,"No",0
"Master","High","Yes","Moderate",3.96,92.4,6.97,4.3,57.8,85.4,0,"No",0
"Master","Medium","Yes","Quiet",2.22,80.1,5.82,1.7,72.1,77.9,1,"No",0
"High School","Low","Yes","Quiet",2.86,91.8,6.89,1.8,71,54.8,3,"No",0
"High School","High","Yes","Moderate",2.61,80.5,6.33,2.1,89.7,44.5,6,"No",0
"High School","Low","Yes","Quiet",3,81.4,7.1,1.2,72.1,48.8,5,"No",0
"High School","Low","Yes","Quiet",1.74,85.9,7.91,2.2,83,86.9,4,"No",0
"Bachelor","Medium","Yes","Quiet",1.02,82.3,6.58,1,68.3,74.5,2,"Yes",0
"Master","Low","Yes","Quiet",1.44,83.8,7.35,1.5,75.1,45.8,2,"Yes",0
"Master","Medium","Yes","Moderate",3.59,76.2,6.49,2.7,63.2,56.3,2,"No",0
"High School","Low","Yes","Quiet",3.13,78.6,8.22,4.8,91.2,54.7,2,"No",0
"Bachelor","Low","Yes","Moderate",4.98,87.3,6.63,1.9,65.5,67,0,"No",0
"Master","Medium","Yes","Quiet",2.23,69.2,7.52,2,80.9,59.1,1,"No",0
"Master","Low","No","Moderate",2.15,79.5,6.29,2.8,53.4,59,3,"No",0
"Bachelor","High","Yes","Moderate",2.3,84.7,7.26,1.6,71.4,53.9,1,"No",0
"High School","Low","No","Moderate",3.19,82.3,5.86,2.6,91.6,64.6,1,"No",0
"Master","Medium","No","Noisy",2.96,76.6,7.98,3.4,68.2,83.7,1,"No",0
